POST_ID,TITLE,YEAR,DATE,ATTENDANCE,FUNDRAISER,URL
139583,"14YA | MAIN & SECONDARY ATTRACTION RESULTS",,,,,https://dodgeball.livejournal.com/139583.html
139343,"14YA | PHOTO GALLERIES",,Over 40,,,https://dodgeball.livejournal.com/139343.html
139170,"14YA | FINAL PREVIEWS",,,,,https://dodgeball.livejournal.com/139170.html
138967,"14YA | FITZPATRICK v. TRONOLONE III",,the 14,,,https://dodgeball.livejournal.com/138967.html
138566,"14YA | ANNIVERSARY EVENT HISTORY",,the 17,,,https://dodgeball.livejournal.com/138566.html
138405,"14YA | 'SWEET' REVENGE",,,,,https://dodgeball.livejournal.com/138405.html
138136,"14YA | Masters of the Majors",,coveted 14,,,https://dodgeball.livejournal.com/138136.html
137902,"14YA | Captaincy Gaps & No Place Like Home",,,,,https://dodgeball.livejournal.com/137902.html
137572,"FANTASTIC 14: Coming Soon!",,FANTASTIC 14,,,https://dodgeball.livejournal.com/137572.html
137263,"Massively Memorable: MDW '19",,,,,https://dodgeball.livejournal.com/137263.html
136919,"13YA: News, Notes, Names, & Numbers",,,,,https://dodgeball.livejournal.com/136919.html
136496,"13YA: Photo Gallery & Match Results",,,,,https://dodgeball.livejournal.com/136496.html
136237,"13YA: The Main Event",,are 5,,,https://dodgeball.livejournal.com/136237.html
136111,"Turn The VOLUME UP!",,in 13,,,https://dodgeball.livejournal.com/136111.html
135728,"The LUCKY 13",,LUCKY 13,,,https://dodgeball.livejournal.com/135728.html
135534,"13YA: NEXT GENERATION",,,,,https://dodgeball.livejournal.com/135534.html
135234,"The AMAZING RACE: Summer Exhibition Results",,,,,https://dodgeball.livejournal.com/135234.html
134928,"The AMAZING RACE: Coming Soon!",,,,,https://dodgeball.livejournal.com/134928.html
134133,"12YA: THE Biggest, THE Baddest, THE Best",,,,,https://dodgeball.livejournal.com/134133.html
133769,"12YA: The MAIN EVENT",,,,,https://dodgeball.livejournal.com/133769.html
133535,"12YA: A DECADE of DODGEBALL, Plus 2",,Plus 2,,,https://dodgeball.livejournal.com/133535.html
133200,"The GREEN Jacket",,,,,https://dodgeball.livejournal.com/133200.html
133038,"TWO Masters, ONE Champion",,,,,https://dodgeball.livejournal.com/133038.html
132852,"MDW '17",,,,,https://dodgeball.livejournal.com/132852.html
132121,"11YA: Bonus Notes & Statistics",,,,,https://dodgeball.livejournal.com/132121.html
131971,"11YA: The Female-Only Finale",,,,,https://dodgeball.livejournal.com/131971.html
131810,"11YA: Ladies' History",,,,,https://dodgeball.livejournal.com/131810.html
131413,"11YA: News & Notes",,,,,https://dodgeball.livejournal.com/131413.html
131290,"11YA: Four Famed Females",,massive 11,,,https://dodgeball.livejournal.com/131290.html
130163,"The US OPEN: Forthcoming Fireworks",,for 6,,,https://dodgeball.livejournal.com/130163.html
